batter_id,pitcher_id,ab,h,hr,rbi,k,bb,avg,ops
593428,666200,8,1,0,0,1,0,.125,.375
695238,605288,3,2,0,0,1,0,.667,1.667
593428,663372,5,2,0,0,0,2,.400,.971
593428,669467,9,2,0,0,3,1,.222,.522
593428,680736,4,2,0,3,0,0,.500,1.500
593428,805673,2,1,0,1,1,1,.500,1.167
593428,656550,3,0,0,0,1,0,.000,.000
593428,686613,5,1,1,1,2,0,.200,1.000
593428,543037,37,7,2,3,13,0,.189,.562
593428,669302,10,3,0,1,3,0,.300,.673
593428,664285,14,5,0,1,3,2,.357,.867
593428,656605,13,2,0,1,0,0,.154,.308
593428,672282,4,1,0,0,0,0,.250,.500
593428,663969,1,0,0,0,0,0,.000,.000
593428,518876,15,3,0,1,3,2,.200,.561
593428,665795,7,1,1,1,2,2,.143,.904
593428,677944,3,1,0,0,0,0,.333,.666
805811,663372,2,0,0,0,1,0,.000,.000
593428,663903,3,1,0,0,1,0,.333,.666
593428,677958,2,0,0,0,1,0,.000,.000
593428,608379,7,2,0,1,2,0,.286,.715
593428,605288,4,0,0,0,2,0,.000,.000
593428,650633,8,4,1,2,0,1,.500,1.431
593428,656492,2,1,1,1,0,0,.500,2.500
805811,663436,3,0,0,0,1,0,.000,.000
805811,665795,2,1,0,0,0,0,.500,1.000
593428,656876,6,1,0,1,1,2,.167,.708
805811,518876,5,1,0,1,1,1,.200,.733
805811,669467,1,0,0,0,1,1,.000,.500
805811,688107,1,1,0,0,0,1,1.000,2.000
805811,656492,3,0,0,0,1,0,.000,.000
671083,664285,3,0,0,0,0,0,.000,.000
671083,665795,1,0,0,0,1,0,.000,.000
669477,663372,2,0,0,0,1,0,.000,.000
669477,680736,3,0,0,0,2,0,.000,.000
669477,666200,9,1,0,2,0,1,.111,.311
669477,663436,3,0,0,1,1,0,.000,.000
669477,673540,2,1,0,0,0,0,.500,1.500
669477,665795,5,1,1,2,3,0,.200,1.000
669477,677944,1,0,0,0,1,1,.000,.500
669477,669467,4,1,0,2,1,0,.250,.700
669477,663903,2,0,0,0,0,0,.000,.333
669477,663969,1,0,0,0,1,1,.000,.500
669477,656605,2,1,0,1,0,0,.500,.833
669477,608379,4,1,0,0,1,0,.250,.750
669477,656492,3,0,0,0,0,0,.000,.000
669477,518876,6,2,1,1,1,0,.333,1.333
669477,688107,3,1,0,0,0,0,.333,.666
669477,669302,3,0,0,0,1,0,.000,.000
669477,664285,3,0,0,0,2,0,.000,.000
691740,665795,2,0,0,0,1,0,.000,.000
691740,688107,2,1,0,0,0,0,.500,1.000
691740,656492,2,1,0,0,0,0,.500,1.000
691740,518876,6,1,0,0,3,0,.167,.334
687551,680736,1,0,0,0,1,0,.000,.000
687551,663372,2,1,0,0,0,0,.500,1.500
687551,663436,3,1,0,0,0,0,.333,1.000
687551,669467,3,2,0,1,0,0,.667,1.667
687551,666200,2,0,0,0,1,0,.000,.000
687551,518876,4,1,0,1,0,0,.250,.500
687551,663969,1,0,0,0,0,0,.000,.000
687551,665795,2,1,0,0,1,0,.500,1.000
606992,663372,4,1,0,0,2,0,.250,.500
606992,680736,2,1,1,2,1,0,.500,2.500
606992,672282,3,1,0,0,0,0,.333,1.000
606992,686613,4,2,0,3,2,0,.500,1.250
606992,650633,2,0,0,0,0,0,.000,.000
606992,663436,2,0,0,0,0,0,.000,.000
606992,656605,4,1,0,1,2,0,.250,.750
606992,518876,3,1,0,0,0,0,.333,.666
606992,543037,2,0,0,0,1,0,.000,.000
606992,608379,2,1,1,1,0,0,.500,2.500
606992,665795,3,0,0,0,3,0,.000,.000
606992,669302,3,1,0,1,1,0,.333,.666
606992,664285,12,4,1,2,2,0,.333,.916
606992,605288,1,0,0,0,1,1,.000,.500
606992,663903,8,1,0,2,1,1,.125,.472
813841,656492,2,1,0,0,1,0,.500,1.000
808982,678022,1,0,0,0,0,0,.000,.000
808982,666200,8,1,0,0,3,0,.125,.375
808982,680736,3,0,0,0,0,0,.000,.000
808982,673540,5,1,0,0,2,1,.200,.829
808982,665795,7,3,0,0,1,2,.429,1.029
808982,663372,2,1,0,0,0,0,.500,1.000
808982,518876,6,3,0,1,0,0,.500,1.500
