player_id,name,team_id,l7_ab,l7_h,l7_hr,l7_rbi,l7_k,l7_bb,l7_avg,l7_ops,l14_ab,l14_h,l14_hr,l14_avg,l14_ops,sea_ab,sea_h,sea_hr,sea_avg,sea_ops,l5_hr,l10_hr,l5_h,l10_h,l10_tb,l5_tb,sea_k_pct,l14_k_pct,l15_k_pct,sea_k,sea_pa
666126,Carlos Cortes,133,13,0,0,1,4,0,0.0,0.0,32,2,1,0.062,0.247,183,50,6,0.273,0.78,0,0,0,1,1,0,0.118,0.212,0.211,24,204
641680,Jonah Heim,133,23,4,1,4,4,3,0.174,0.617,45,11,2,0.244,0.764,127,30,7,0.236,0.774,1,2,4,6,13,8,0.173,0.18,0.167,24,139
701762,Nick Kurtz,133,26,4,0,3,11,2,0.154,0.368,53,13,3,0.245,0.797,305,85,19,0.279,0.941,0,1,4,7,11,4,0.303,0.393,0.369,115,379
691777,Max Muncy,133,24,7,1,4,8,3,0.292,0.787,41,9,3,0.22,0.728,145,34,5,0.234,0.695,0,2,5,8,14,5,0.333,0.289,0.265,52,156
665052,Griffin Conine,146,22,4,1,4,9,3,0.182,0.644,38,8,3,0.211,0.76,44,10,3,0.227,0.783,1,2,4,6,13,8,0.306,0.333,0.318,15,49
805300,Jakob Marsee,146,27,2,0,2,8,3,0.074,0.278,54,8,1,0.148,0.448,290,56,4,0.193,0.592,0,0,2,5,7,3,0.246,0.293,0.295,82,334
671732,Lawrence Butler,133,19,5,0,1,7,5,0.263,0.733,42,13,1,0.31,0.848,209,42,5,0.201,0.595,0,1,5,8,12,6,0.268,0.292,0.306,63,235
669127,Shea Langeliers,133,27,5,0,3,10,4,0.185,0.475,56,10,1,0.179,0.538,319,84,19,0.263,0.815,0,1,5,7,11,5,0.205,0.238,0.221,71,347
640459,Brian Navarreto,146,2,0,0,0,1,1,0.0,0.333,2,0,0,0.0,0.333,2,0,0,0.0,0.333,0,0,0,0,0,0,0.333,0.333,0.333,1,3
688363,Graham Pauley,146,16,3,0,2,4,0,0.188,0.5,31,3,0,0.097,0.313,91,16,1,0.176,0.516,0,0,2,3,5,4,0.24,0.182,0.194,23,96
677870,Leo Jiménez,146,14,3,0,2,6,1,0.214,0.624,35,5,0,0.143,0.367,82,16,0,0.195,0.49,0,0,2,3,5,3,0.247,0.361,0.325,22,89
665923,Esteury Ruiz,146,9,2,0,0,1,1,0.222,0.522,26,9,1,0.346,0.97,82,21,4,0.256,0.842,0,0,2,3,3,2,0.286,0.214,0.207,26,91
691594,Javier Sanoja,146,18,8,0,5,1,0,0.444,1.111,39,11,0,0.282,0.692,188,50,2,0.266,0.69,0,0,8,10,15,12,0.106,0.077,0.07,21,199
691788,Joe Mack,146,22,5,1,3,4,1,0.227,0.625,41,10,3,0.244,0.814,128,32,4,0.25,0.687,1,2,4,8,14,7,0.246,0.13,0.12,34,138
683357,Owen Caissie,146,16,7,1,3,6,1,0.438,1.159,38,13,3,0.342,1.048,201,48,9,0.239,0.731,0,2,5,11,19,6,0.399,0.317,0.302,87,218
681715,Heriberto Hernández,146,23,3,1,1,4,4,0.13,0.607,50,10,3,0.2,0.746,169,37,8,0.219,0.69,0,2,1,5,14,2,0.241,0.25,0.246,45,187
669065,Kyle Stowers,146,27,7,0,4,12,2,0.259,0.754,51,13,3,0.255,0.882,224,51,8,0.228,0.725,0,1,5,8,16,8,0.321,0.404,0.371,80,249
665487,Fernando Tatis Jr.,135,31,8,1,5,6,1,0.258,0.7,57,17,1,0.298,0.772,319,90,3,0.282,0.708,0,1,5,11,18,6,0.206,0.15,0.185,72,349
672640,Otto Lopez,146,29,10,2,4,3,2,0.345,1.077,55,15,2,0.273,0.824,333,111,7,0.333,0.85,2,2,6,13,24,15,0.143,0.083,0.078,50,349
666023,Freddy Fermin,135,19,1,0,0,4,5,0.053,0.303,34,6,3,0.176,0.771,131,19,3,0.145,0.495,0,3,1,6,16,1,0.216,0.2,0.205,32,148
669364,Xavier Edwards,146,27,11,0,3,1,3,0.407,0.986,50,14,0,0.28,0.685,310,92,6,0.297,0.807,0,0,7,12,15,8,0.125,0.145,0.136,44,352
657757,Gavin Sheets,135,17,4,1,2,5,2,0.235,0.728,39,9,2,0.231,0.687,239,55,13,0.23,0.759,1,2,4,7,13,7,0.236,0.256,0.25,63,267
701538,Jackson Merrill,135,28,5,0,0,11,1,0.179,0.421,59,15,1,0.254,0.623,310,66,8,0.213,0.614,0,0,4,9,11,4,0.254,0.3,0.292,85,334
680728,Adrian Del Castillo,109,22,4,0,0,4,1,0.182,0.399,34,6,0,0.176,0.419,144,27,4,0.188,0.549,0,0,3,4,4,3,0.288,0.216,0.2,45,156
669392,Samad Taylor,135,25,6,0,3,10,5,0.24,0.607,53,17,1,0.321,0.777,72,23,1,0.319,0.777,0,0,3,11,11,3,0.305,0.283,0.281,25,82
687749,Jase Bowen,135,6,1,0,0,3,1,0.167,0.619,19,3,0,0.158,0.449,31,4,0,0.129,0.343,0,0,1,1,2,2,0.424,0.381,0.36,14,33
630105,Jake Cronenworth,135,16,1,0,0,3,1,0.062,0.18,35,5,0,0.143,0.439,100,14,1,0.14,0.436,0,0,1,3,3,1,0.202,0.171,0.2,23,114
609280,Miguel Andujar,135,15,5,0,0,1,2,0.333,0.879,31,7,0,0.226,0.584,205,53,5,0.259,0.71,0,0,5,5,7,7,0.159,0.059,0.053,34,214
592518,Manny Machado,135,23,6,2,3,4,6,0.261,1.066,49,11,3,0.224,0.866,296,55,15,0.186,0.665,1,3,3,9,22,8,0.222,0.22,0.203,74,333
660710,Rodolfo Durán,135,20,2,0,2,5,0,0.1,0.25,40,7,2,0.175,0.639,64,9,3,0.141,0.569,0,0,2,3,5,3,0.254,0.214,0.205,18,71
682998,Corbin Carroll,109,27,6,0,1,8,2,0.222,0.609,53,13,1,0.245,0.725,301,83,13,0.276,0.885,0,0,4,10,16,6,0.218,0.207,0.206,74,339
593428,Xander Bogaerts,135,21,6,0,3,3,6,0.286,0.777,45,11,0,0.244,0.649,274,64,8,0.234,0.659,0,0,6,9,10,7,0.181,0.164,0.175,56,309
823550,Sung-Mun Song,135,10,3,0,4,1,3,0.3,0.862,30,8,0,0.267,0.653,56,12,0,0.214,0.573,0,0,2,4,5,2,0.2,0.176,0.216,13,65
606466,Ketel Marte,109,27,8,4,4,2,2,0.296,1.123,53,17,5,0.321,1.039,320,84,16,0.263,0.796,4,5,5,11,28,17,0.139,0.052,0.048,48,346
694410,LuJames Groover,109,21,3,1,2,4,3,0.143,0.631,46,8,1,0.174,0.538,46,8,1,0.174,0.538,1,1,3,5,10,8,0.196,0.196,0.196,10,51
678489,Jorge Barrosa,109,7,2,1,2,1,1,0.286,1.232,14,3,1,0.214,0.767,106,19,2,0.179,0.592,0,1,0,2,6,0,0.304,0.333,0.312,35,115
672695,Geraldo Perdomo,109,27,8,1,4,3,3,0.296,0.848,49,14,2,0.286,0.895,280,69,5,0.246,0.725,1,1,8,9,14,13,0.13,0.148,0.141,43,330
545121,Ildemaro Vargas,109,13,1,0,2,1,2,0.077,0.354,32,4,0,0.125,0.451,250,64,7,0.256,0.695,0,0,1,3,5,2,0.095,0.079,0.095,25,264
596146,Max Kepler,109,9,0,0,0,2,0,0.0,0.0,9,0,0,0.0,0.0,9,0,0,0.0,0.0,0,0,0,0,0,0,0.222,0.222,0.222,2,9
666971,Lourdes Gurriel Jr.,109,28,6,0,3,6,0,0.214,0.535,53,11,0,0.208,0.472,132,29,1,0.22,0.559,0,0,6,8,11,9,0.186,0.208,0.224,26,140
672515,Gabriel Moreno,109,21,6,0,1,1,4,0.286,0.686,49,15,1,0.306,0.822,192,53,6,0.276,0.788,0,0,4,11,12,4,0.167,0.107,0.1,36,216
664034,Ty France,135,18,6,2,5,5,1,0.333,1.09,41,10,4,0.244,0.864,169,44,10,0.26,0.805,2,4,5,9,23,12,0.257,0.326,0.333,46,179
