player_id,vl_avg,vl_hr,vl_h,vl_ops,vl_ab,vr_avg,vr_hr,vr_h,vr_ops,vr_ab
694378,.259,0.0,7.0,.801,27.0,.215,6,38,.596,177
668804,.276,7.0,58.0,.807,210.0,.250,10,95,.772,380
664040,.224,8.0,43.0,.651,192.0,.278,26,108,.904,388
804668,.275,6.0,19.0,.924,69.0,.267,5,20,.841,75
804606,.325,1.0,27.0,.832,83.0,.244,4,54,.662,221
682927,.286,1.0,6.0,.747,21.0,.270,0,10,.676,37
663968,.264,2.0,32.0,.678,121.0,.279,3,86,.701,308
656811,.219,4.0,28.0,.625,128.0,.290,14,79,.850,272
669707,.275,1.0,36.0,.667,131.0,.216,2,41,.580,190
669720,.380,2.0,19.0,.956,50.0,.152,1,7,.387,46
687957,.250,0.0,4.0,.631,16.0,.290,0,31,.728,107
687462,.227,1.0,17.0,.604,75.0,.253,9,77,.742,304
680779,.131,3.0,11.0,.407,84.0,.183,7,31,.654,169
665833,.326,4.0,42.0,.847,129.0,.256,16,61,.862,238
695257,.161,0.0,5.0,.446,31.0,.200,0,4,.438,20
592518,.229,5.0,32.0,.700,140.0,.210,24,93,.706,442
693304,.274,1.0,48.0,.681,175.0,.315,5,117,.788,372
671056,.264,7.0,46.0,.835,174.0,.236,12,100,.701,424
665487,.309,9.0,43.0,.987,139.0,.286,16,138,.787,483
664034,.288,5.0,34.0,.853,118.0,.296,16,93,.869,314
666023,.162,2.0,11.0,.513,68.0,.213,2,34,.604,160
669134,.283,2.0,13.0,.812,46.0,.263,6,44,.796,167
669392,.319,0.0,15.0,.764,47.0,.314,2,32,.815,102
701538,.280,6.0,49.0,.742,175.0,.242,20,105,.740,434
593428,.245,1.0,34.0,.644,139.0,.224,11,85,.675,379
676475,.215,3.0,41.0,.554,191.0,.310,22,127,.931,410
806956,.143,0.0,1.0,.286,7.0,.250,2,7,.812,28
693409,.000,0.0,0.0,.000,3.0,.065,0,2,.159,31
699024,.280,0.0,7.0,.628,25.0,.297,4,19,.854,64
823550,.111,0.0,1.0,.293,9.0,.202,1,24,.562,119
802139,.229,6.0,44.0,.661,192.0,.252,11,86,.736,341
630105,.250,1.0,21.0,.618,84.0,.216,6,62,.622,287
663494,.192,0.0,5.0,.468,26.0,.239,4,33,.676,138
687749,.188,2.0,9.0,.616,48.0,.111,0,5,.278,45
665877,.271,4.0,39.0,.750,144.0,.236,2,42,.611,178
701675,.237,2.0,22.0,.620,93.0,.254,8,85,.676,334
691026,.268,1.0,33.0,.714,123.0,.219,4,76,.594,347
663586,.231,3.0,37.0,.666,160.0,.219,16,87,.660,398
691023,.281,9.0,43.0,.874,153.0,.268,20,120,.775,448
686780,.205,0.0,18.0,.502,88.0,.220,4,22,.636,100
669357,.190,1.0,8.0,.525,42.0,.187,8,41,.600,219
643289,.255,4.0,50.0,.675,196.0,.285,7,106,.732,372
695336,.227,3.0,10.0,.817,44.0,.234,1,26,.581,111
571657,.273,0.0,3.0,.637,11.0,.200,0,1,.367,5
686948,.241,7.0,49.0,.688,203.0,.305,17,104,.878,341
642086,.156,0.0,5.0,.438,32.0,.267,8,62,.720,232
687363,.263,1.0,15.0,.611,57.0,.156,1,17,.478,109
676551,.250,0.0,2.0,.833,8.0,.259,0,7,.782,27
573262,.212,1.0,7.0,.649,33.0,.231,11,74,.705,321
673490,.067,0.0,4.0,.192,60.0,.156,0,10,.442,64
680577,,,,,,1.000,0,1,2.000,1
621566,.258,16.0,66.0,.819,256.0,.248,25,90,.835,363
671739,.284,8.0,59.0,.773,208.0,.294,18,111,.819,378
680869,.286,7.0,30.0,.885,105.0,.246,15,69,.772,281
669221,.097,1.0,3.0,.370,31.0,.200,2,15,.610,75
675961,.295,2.0,28.0,.811,95.0,.250,2,30,.675,120
660670,.228,5.0,28.0,.755,123.0,.271,15,76,.828,280
682668,.216,0.0,22.0,.481,102.0,.233,1,24,.551,103
643446,.237,0.0,23.0,.593,97.0,.275,9,103,.712,375
622268,.118,1.0,2.0,.461,17.0,.280,8,58,.855,207
671732,.231,4.0,30.0,.684,130.0,.239,13,80,.737,335
661531,.206,2.0,7.0,.618,34.0,.159,3,7,.593,44
645277,.274,8.0,66.0,.733,241.0,.217,14,80,.664,368
695720,.303,0.0,20.0,.627,66.0,.220,3,26,.577,118
641680,.267,10.0,39.0,.855,146.0,.163,3,34,.478,209
805367,.346,7.0,54.0,1.011,156.0,.248,9,101,.667,408
703607,.275,7.0,36.0,.822,131.0,.278,4,77,.738,277
672016,.182,0.0,6.0,.462,33.0,.125,0,5,.347,40
686668,.244,3.0,21.0,.712,86.0,.220,1,26,.529,118
695657,.243,10.0,42.0,.795,173.0,.180,21,70,.647,389
666126,.318,0.0,7.0,.757,22.0,.251,10,79,.724,315
811965,.355,1.0,11.0,.903,31.0,.400,0,14,.961,35
691019,.194,0.0,6.0,.550,31.0,.202,5,17,.738,84
695731,.122,1.0,11.0,.422,90.0,.268,5,61,.762,228
643217,.222,0.0,10.0,.499,45.0,.241,14,90,.730,374
683021,.350,0.0,7.0,.809,20.0,.333,0,2,.666,6
678246,.272,12.0,46.0,.928,169.0,.242,21,101,.800,417
669127,.322,9.0,39.0,1.000,121.0,.239,14,71,.728,297
803011,.226,0.0,21.0,.591,93.0,.287,8,109,.803,380
808959,.181,7.0,23.0,.734,127.0,.220,28,70,.874,318
668670,.222,2.0,8.0,.773,36.0,.140,2,15,.491,107
671976,.185,1.0,10.0,.591,54.0,.278,11,105,.805,378
677649,.290,4.0,40.0,.828,138.0,.249,13,98,.708,394
694497,.121,0.0,8.0,.304,66.0,.206,9,66,.656,320
669394,.265,12.0,40.0,.891,151.0,.217,15,86,.662,396
553869,.247,6.0,24.0,.777,97.0,.217,1,26,.548,120
545341,.329,10.0,53.0,1.016,161.0,.227,4,22,.655,97
666018,.250,3.0,41.0,.671,164.0,.285,19,117,.842,410
673962,.366,3.0,37.0,.993,101.0,.276,9,82,.769,297
683227,.300,1.0,12.0,.803,40.0,.209,0,9,.494,43
502054,.105,1.0,2.0,.555,19.0,.200,0,1,.400,5
607043,.328,5.0,61.0,.847,186.0,.229,9,91,.677,398
656775,.206,1.0,21.0,.571,102.0,.204,14,67,.651,328
608369,.252,7.0,33.0,.785,131.0,.213,12,52,.709,244
663743,.252,2.0,37.0,.676,147.0,.272,4,40,.702,147
810938,.226,1.0,28.0,.590,124.0,.252,2,34,.655,135
694671,.222,4.0,30.0,.686,135.0,.247,13,66,.798,267
680737,.200,1.0,3.0,.655,15.0,.133,0,2,.411,15
670032,.235,0.0,12.0,.494,51.0,.275,1,50,.659,182
679822,.329,8.0,47.0,.994,143.0,.175,3,14,.512,80
696030,.311,0.0,14.0,.678,45.0,.240,1,37,.635,154
670764,.205,1.0,27.0,.545,132.0,.233,1,54,.641,232
815589,.429,0.0,3.0,.858,7.0,.167,0,1,.453,6
691406,.287,8.0,45.0,.913,157.0,.271,33,123,.866,454
701852,.143,0.0,2.0,.393,14.0,.234,1,29,.603,124
650490,.266,8.0,47.0,.784,177.0,.300,14,130,.805,433
683748,.310,2.0,18.0,.831,58.0,.226,12,38,.797,168
695391,.190,0.0,4.0,.606,21.0,.111,0,2,.311,18
680700,.164,0.0,9.0,.482,55.0,.248,10,70,.747,282
643376,.167,2.0,9.0,.601,54.0,.206,4,28,.654,136
689414,.190,1.0,19.0,.504,100.0,.306,17,113,.876,369
687529,.238,0.0,5.0,.619,21.0,.109,2,6,.495,55
676356,.264,2.0,39.0,.666,148.0,.263,7,51,.740,194
683766,.203,4.0,12.0,.654,59.0,.235,0,32,.555,136
813841,.234,3.0,18.0,.714,77.0,.288,1,19,.683,66
687551,.068,0.0,3.0,.214,44.0,.265,11,78,.800,294
622761,.202,2.0,17.0,.537,84.0,.203,3,24,.574,118
668800,.178,1.0,8.0,.518,45.0,.308,1,8,.900,26
802415,.285,0.0,57.0,.633,200.0,.318,0,118,.718,371
682674,.262,2.0,16.0,.700,61.0,.200,3,9,.634,45
678545,.118,1.0,6.0,.413,51.0,.260,4,20,.748,77
668723,.272,7.0,41.0,.818,151.0,.200,4,18,.647,90
814154,.333,0.0,3.0,.777,9.0,.133,0,2,.321,15
806367,.176,0.0,6.0,.491,34.0,.242,1,16,.690,66
640902,.346,1.0,9.0,.938,26.0,.262,1,16,.619,61
663728,.168,9.0,27.0,.621,161.0,.185,14,52,.687,281
694376,.190,1.0,8.0,.476,42.0,.186,3,13,.573,70
691785,.400,2.0,8.0,1.209,20.0,.191,1,37,.511,194
647304,.278,3.0,57.0,.678,205.0,.255,7,98,.666,384
660844,.050,0.0,2.0,.249,40.0,.200,0,16,.566,80
642215,.192,3.0,20.0,.561,104.0,.232,1,13,.677,56
641487,.226,2.0,28.0,.646,124.0,.214,11,60,.691,280
668885,.235,2.0,32.0,.752,136.0,.228,1,37,.582,162
702284,.218,3.0,42.0,.584,193.0,.256,14,97,.737,379
686527,.272,5.0,31.0,.861,114.0,.262,18,93,.806,355
703155,.071,0.0,1.0,.142,14.0,.257,4,9,.995,35
703197,.333,0.0,5.0,.821,15.0,.286,1,4,.946,14
677594,.225,8.0,41.0,.690,182.0,.259,14,106,.725,409
621493,.217,4.0,34.0,.690,157.0,.226,3,77,.658,340
605137,.272,6.0,52.0,.736,191.0,.245,14,91,.731,371
693306,.000,0.0,0.0,.000,3.0,.000,0,0,.000,3
645302,.289,0.0,13.0,.683,45.0,.239,0,21,.593,88
680777,.263,3.0,30.0,.799,114.0,.245,11,49,.806,200
691181,.214,0.0,3.0,.624,14.0,.161,2,5,.631,31
702176,.471,1.0,8.0,1.147,17.0,.233,0,14,.633,60
669016,.223,3.0,27.0,.613,121.0,.271,15,108,.746,398
668227,.307,11.0,51.0,.955,166.0,.269,15,107,.823,398
805346,.429,0.0,3.0,1.286,7.0,.071,0,1,.214,14
668904,.246,4.0,32.0,.713,130.0,.218,10,71,.644,325
665019,.229,5.0,33.0,.680,144.0,.243,22,92,.793,379
805805,.063,0.0,1.0,.230,16.0,.267,4,16,.833,60
686797,.213,3.0,39.0,.586,183.0,.271,21,107,.797,395
650559,.222,1.0,8.0,.623,36.0,.351,1,13,.907,37
807712,.283,2.0,49.0,.733,173.0,.280,8,98,.789,350
592663,.192,2.0,20.0,.562,104.0,.211,9,64,.633,304
547180,.224,4.0,50.0,.663,223.0,.299,24,103,.999,344
681082,.266,2.0,34.0,.738,128.0,.244,8,98,.712,401
664761,.294,7.0,52.0,.821,177.0,.232,8,89,.648,384
668952,.196,4.0,19.0,.675,97.0,.233,4,34,.657,146
656941,.263,15.0,56.0,.904,213.0,.214,30,77,.830,360
596117,.143,0.0,1.0,.393,7.0,.157,0,8,.357,51
702222,.241,1.0,14.0,.623,58.0,.267,2,96,.672,359
807727,.288,1.0,15.0,.730,52.0,.214,1,9,.583,42
656537,.250,8.0,32.0,.781,128.0,.225,3,16,.647,71
665561,.103,1.0,3.0,.340,29.0,.097,1,6,.283,62
605170,.178,2.0,19.0,.548,107.0,.241,5,52,.663,216
607208,.215,3.0,45.0,.600,209.0,.251,16,107,.707,426
624641,.290,6.0,36.0,.835,124.0,.184,2,19,.509,103
665926,.233,3.0,31.0,.628,133.0,.248,6,82,.660,330
543807,.209,4.0,29.0,.649,139.0,.265,11,85,.754,321
669701,.100,0.0,3.0,.229,30.0,.220,6,39,.673,177
650333,.314,1.0,61.0,.764,194.0,.308,5,124,.765,402
703520,.268,0.0,15.0,.650,56.0,.347,2,33,.889,95
672386,.306,2.0,26.0,.792,85.0,.271,8,51,.770,188
678218,.182,2.0,12.0,.589,66.0,.240,6,41,.702,171
664702,.235,2.0,36.0,.644,153.0,.252,1,35,.661,139
672695,.268,1.0,44.0,.710,164.0,.260,8,102,.764,392
676914,.111,2.0,7.0,.551,63.0,.190,3,11,.723,58
676391,.243,4.0,46.0,.629,189.0,.271,5,107,.669,395
545121,.323,6.0,52.0,.852,161.0,.217,3,63,.582,290
656976,.143,0.0,1.0,.286,7.0,.189,3,18,.594,95
672960,.252,10.0,37.0,.861,147.0,.228,23,95,.733,416
664770,.213,1.0,16.0,.582,75.0,.294,9,97,.749,330
660821,.152,0.0,5.0,.382,33.0,.267,8,67,.755,251
682998,.309,6.0,56.0,.949,181.0,.206,16,81,.727,393
665489,.282,4.0,37.0,.803,131.0,.256,5,104,.656,407
672515,.279,4.0,36.0,.780,129.0,.323,12,110,.910,341
606466,.307,9.0,43.0,.930,140.0,.228,13,94,.686,413
663457,.125,1.0,5.0,.465,40.0,.261,7,62,.772,238
815873,.000,0.0,0.0,.333,2.0,.208,2,11,.604,53
691783,.283,3.0,15.0,.854,53.0,.235,3,16,.723,68
699912,.250,0.0,16.0,.607,64.0,.259,3,36,.664,139
694374,.235,1.0,19.0,.646,81.0,.232,10,52,.695,224
814439,.284,0.0,21.0,.747,74.0,.244,3,43,.670,176
543510,.241,0.0,13.0,.571,54.0,.309,6,29,.870,94
571448,.271,10.0,38.0,.890,140.0,.248,20,96,.772,387
669326,.238,0.0,10.0,.559,42.0,.100,0,2,.317,20
687263,.288,8.0,49.0,.872,170.0,.223,19,99,.730,443
694203,.185,6.0,17.0,.670,92.0,.236,2,43,.574,182
695681,.233,0.0,10.0,.571,43.0,.163,2,14,.488,86
