pitcher_id,ERA,HR_allowed,H_allowed,K,IP,WHIP,K9,GS,H_per_G,hand,name,W,L,BB,BF,K_pct,BF_per_GS,GP,is_reliever,l5_k_pct,l5_era,bf_mean,bf_std,pit_per_bf,l5_ks,l5_bf,k_trend,team_id
678022,6.14,20,115,127,110.0,1.48,10.4,15,7.7,R,Jack Perkins,3,11,48,497,0.256,33.1,35,True,0.264,,21.2,4.7,,,,0.008,133.0
668909,3.78,27,136,235,174.0,1.10,12.2,30,4.5,R,Gavin Williams,13,8,56,705,0.333,23.5,30,False,0.388,,23.4,1.8,,,,0.055,114.0
643377,3.80,15,92,110,104.1,1.20,9.5,21,4.4,R,Griffin Jax,7,10,33,430,0.256,20.5,32,False,0.317,,21.1,2.9,,,,0.061,139.0
527048,3.07,13,113,100,137.2,1.26,6.6,25,4.5,L,Martín Pérez,9,9,60,575,0.174,23.0,29,False,0.142,,22.6,5.3,,,,-0.032,144.0
686613,3.43,11,76,110,97.0,1.29,10.2,18,4.2,R,Hunter Brown,6,3,49,406,0.271,22.6,18,False,0.33,,22.9,1.6,,,,0.059,117.0
675512,2.52,13,88,90,110.2,1.10,7.4,19,4.6,R,Troy Melton,8,4,34,451,0.2,23.7,19,False,0.142,,24.5,1.8,,,,-0.058,116.0
663436,3.96,14,140,115,141.0,1.30,7.3,26,5.4,R,Davis Martin,9,7,43,592,0.194,22.8,27,False,0.098,,21.7,2.4,,,,-0.096,145.0
663623,5.51,17,90,96,96.1,1.41,9.0,19,4.7,R,Jake Irvin,2,9,46,426,0.225,22.4,20,False,0.212,,21.4,3.9,,,,-0.013,120.0
687273,3.62,3,36,36,37.1,1.39,8.7,7,5.1,L,Quinn Mathews,2,3,16,162,0.222,23.1,7,False,0.215,,23.1,2.9,,,,-0.007,138.0
594798,3.79,20,126,194,154.1,1.07,11.3,29,4.3,R,Jacob deGrom,11,9,39,622,0.312,21.4,29,False,0.356,,20.9,1.5,,,,0.044,140.0
807739,5.33,4,28,21,25.1,1.42,7.5,5,5.6,L,Kade Anderson,1,2,8,107,0.196,21.4,5,False,0.196,,21.4,1.9,,,,0.0,136.0
665152,5.35,17,70,74,77.1,1.24,8.6,15,4.7,R,Dean Kremer,3,5,26,319,0.232,21.3,15,False,0.206,,21.6,2.4,,,,-0.026,142.0
696270,4.88,18,82,70,90.1,1.34,7.0,17,4.8,R,Ryan Johnson,5,8,39,388,0.18,22.8,20,False,0.197,,21.9,2.2,,,,0.017,108.0
645261,3.84,23,195,149,206.0,1.23,6.5,32,6.1,R,Sandy Alcantara,13,10,58,861,0.173,26.9,33,False,0.138,,26.0,1.7,,,,-0.035,146.0
621111,4.58,20,142,122,143.1,1.37,7.7,30,4.7,R,Walker Buehler,8,6,54,609,0.2,20.3,30,False,0.18,,20.9,2.2,,,,-0.02,135.0
701542,3.89,21,150,147,148.0,1.36,8.9,28,5.4,R,Will Warren,10,6,51,641,0.229,22.9,30,False,0.259,,21.9,3.1,,,,0.03,147.0
669203,5.87,2,7,6,7.2,1.17,7.5,2,3.5,R,Corbin Burnes,0,0,2,32,0.188,16.0,2,False,0.188,,16.0,4.2,,,,0.0,109.0
694819,1.89,14,93,243,166.1,0.81,13.2,28,3.3,R,Jacob Misiorowski,15,5,42,636,0.382,22.7,28,False,0.303,,21.4,2.7,,,,-0.079,158.0
687064,3.65,21,145,118,145.2,1.37,7.3,26,5.6,R,Brandon Young,9,4,55,629,0.188,24.2,26,False,0.18,,23.9,2.9,,,,-0.008,110.0
