team_id,team,l5_avg,l3_avg,last_k,l5_k,l3_k
137,San Francisco Giants,0.274,0.303,12,42,25
147,New York Yankees,0.259,0.324,9,47,23
109,Arizona Diamondbacks,0.224,0.184,6,29,18
120,Washington Nationals,0.254,0.25,6,36,23
115,Colorado Rockies,0.24,0.257,10,47,28
118,Kansas City Royals,0.267,0.275,9,38,26
121,New York Mets,0.279,0.257,8,40,25
119,Los Angeles Dodgers,0.234,0.257,6,43,19
158,Milwaukee Brewers,0.287,0.295,6,35,21
144,Atlanta Braves,0.288,0.324,7,39,25
141,Toronto Blue Jays,0.268,0.223,5,31,17
138,St. Louis Cardinals,0.253,0.262,13,48,30
117,Houston Astros,0.243,0.243,10,49,29
110,Baltimore Orioles,0.257,0.316,11,45,31
